Gustavo Niemeyer,,2002-11-05,2017-02-10,Did not make GitHub transition
Tony Lownds,,2002-09-22,2017-02-10,Did not make GitHub transition
Steve Holden,,2002-06-14,2017-02-10,"Relinquished privileges on 2005-04-07,
        but granted again for Need for Speed sprint; did not make GitHub transition"
Christian Tismer,ctismer,2002-05-17,,For Need for Speed sprint
Jason Tishler,,2002-05-15,2017-02-10,Did not make GitHub transition
Walter Dörwald,doerwalter,2002-03-21,,
Andrew MacIntyre,,2002-02-17,2016-01-02,Privileges relinquished 2016-01-02
Gregory P. Smith,gpshead,2002-01-08,,
Anthony Baxter,,2001-12-21,2017-02-10,Did not make GitHub transition
Neal Norwitz,,2001-12-19,2017-02-10,Did not make GitHub transition
Raymond Hettinger,rhettinger,2001-12-10,,
Chui Tey,,2001-10-31,2017-02-10,Did not make GitHub transition
Michael W. Hudson,,2001-08-27,2017-02-10,Did not make GitHub transition
Finn Bock,,2001-08-23,2005-04-13,Privileges relinquished on 2005-04-13
Piers Lauder,,2001-07-20,2017-02-10,Did not make GitHub transition
Kurt B. Kaiser,kbkaiser,2001-07-03,,
Steven M. Gava,,2001-06-25,2017-02-10,Did not make GitHub transition
Steve Purcell,,2001-03-22,2017-02-10,Did not make GitHub transition
Jim Fulton,,2000-10-06,2017-02-10,Did not make GitHub transition
Ka-Ping Yee,,2000-10-03,2017-02-10,Did not make GitHub transition
Lars Gustäbel,gustaebel,2000-09-21,2020-11-26,For tarfile module
Neil Schemenauer,nascheme,2000-09-15,,
Martin v. Löwis,,2000-09-08,2017-02-10,Did not make GitHub transition
Thomas Heller,theller,2000-09-07,2020-11-18,
Moshe Zadka,,2000-07-29,2005-04-08,Privileges relinquished on 2005-04-08
Thomas Wouters,Yhg1s,2000-07-14,,
Peter Schneider-Kamp,,2000-07-10,2017-02-10,Did not make GitHub transition
Paul Prescod,,2000-07-01,2005-04-30,Privileges relinquished on 2005-04-30
Tim Peters,tim-one,2000-06-30,,
Skip Montanaro,smontanaro,2000-06-30,2015-04-21,Privileges relinquished 2015-04-21
Fredrik Lundh,,2000-06-29,2017-02-10,Did not make GitHub transition
Mark Hammond,mhammond,2000-06-09,,
Marc-André Lemburg,malemburg,2000-06-07,,
Trent Mick,,2000-06-06,2017-02-10,Did not make GitHub transition
Eric S. Raymond,,2000-06-02,2017-02-10,Did not make GitHub transition
Greg Stein,,1999-11-07,2017-02-10,Did not make GitHub transition
Just van Rossum,,1999-01-22,2017-02-10,Did not make GitHub transition
Greg Ward,,1998-12-18,2017-02-10,Did not make GitHub transition
Andrew Kuchling,akuchling,1998-04-09,,
Ken Manheimer,,1998-03-03,2005-04-08,Privileges relinquished on 2005-04-08
Jeremy Hylton,jeremyhylton,1997-08-13,2020-11-26,
Roger E. Masse,,1996-12-09,2017-02-10,Did not make GitHub transition
Fred Drake,freddrake,1996-07-23,,
Barry Warsaw,warsaw,1994-07-25,,
Jack Jansen,jackjansen,1992-08-13,,
Sjoerd Mullender,sjoerdmullender,1992-08-04,2020-11-14,
Guido van Rossum,gvanrossum,1989-12-25,,
